P.CO2,Blocker,Concentration,Vehicle,Treatment,Exudate
0,ZnCl2,0 mM,Water,Vehicle,22.2
0,ZnCl2,0 mM,Water,Vehicle,39.2
0,ZnCl2,0 mM,Water,Vehicle,27.9
0,ZnCl2,0 mM,Water,Vehicle,29.5
0,ZnCl2,0 mM,Water,Vehicle,9.5
0,ZnCl2,0 mM,Water,Vehicle,26.8
0,ZnCl2,0 mM,Water,Vehicle,13
0,ZnCl2,0 mM,Water,Vehicle,14.4
0,ZnCl2,0 mM,Water,Vehicle,19.6
0,ZnCl2,1 mM,Water,Blocker,6.7
0,ZnCl2,1 mM,Water,Blocker,11.2
0,ZnCl2,1 mM,Water,Blocker,6.5
0,ZnCl2,1 mM,Water,Blocker,11.6
0,ZnCl2,1 mM,Water,Blocker,8.2
0,ZnCl2,1 mM,Water,Blocker,8.9
0,ZnCl2,1 mM,Water,Blocker,8
0,ZnCl2,1 mM,Water,Blocker,2.9
50,ZnCl2,0 mM,Water,Vehicle,77.3
50,ZnCl2,0 mM,Water,Vehicle,38
50,ZnCl2,0 mM,Water,Vehicle,21.2
50,ZnCl2,0 mM,Water,Vehicle,70.2
50,ZnCl2,0 mM,Water,Vehicle,56.9
50,ZnCl2,0 mM,Water,Vehicle,27.7
50,ZnCl2,0 mM,Water,Vehicle,46.3
50,ZnCl2,0 mM,Water,Vehicle,31.9
50,ZnCl2,0 mM,Water,Vehicle,36.4
50,ZnCl2,0 mM,Water,Vehicle,45.6
50,ZnCl2,0 mM,Water,Vehicle,28.9
50,ZnCl2,0 mM,Water,Vehicle,48.6
50,ZnCl2,1 mM,Water,Blocker,8.8
50,ZnCl2,1 mM,Water,Blocker,36
50,ZnCl2,1 mM,Water,Blocker,19.4
50,ZnCl2,1 mM,Water,Blocker,-1
50,ZnCl2,1 mM,Water,Blocker,15.6
50,ZnCl2,1 mM,Water,Blocker,18.9
100,ZnCl2,0 mM,Water,Vehicle,147.7
100,ZnCl2,0 mM,Water,Vehicle,207.9
100,ZnCl2,0 mM,Water,Vehicle,180.8
100,ZnCl2,0 mM,Water,Vehicle,125.9
100,ZnCl2,0 mM,Water,Vehicle,54
100,ZnCl2,0 mM,Water,Vehicle,30.3
100,ZnCl2,0 mM,Water,Vehicle,46.2
100,ZnCl2,0 mM,Water,Vehicle,134
100,ZnCl2,0 mM,Water,Vehicle,78
100,ZnCl2,1 mM,Water,Blocker,125.1
100,ZnCl2,1 mM,Water,Blocker,101.9
100,ZnCl2,1 mM,Water,Blocker,142.6
100,ZnCl2,1 mM,Water,Blocker,70.4
100,ZnCl2,1 mM,Water,Blocker,121.7
100,ZnCl2,1 mM,Water,Blocker,149.6
100,ZnCl2,1 mM,Water,Blocker,25.7
100,ZnCl2,1 mM,Water,Blocker,44.2
